Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.2.123.223-52.114.77.34-56516-443-6,10.2.123.223,56516,52.114.77.34,443,6,27/11/2019 01:53:05 PM,4554312,7,6,5868.0,1460.0,1440.0,0.0,838.2857142857143,649.6606073650338,533.0,0.0,243.33333333333334,250.1932586355329,1609.0245903223142,2.854437728464804,379526.00000000006,1231132.0139595105,4285444.0,1.0,4418944.0,736490.6666666666,1739438.1522339524,4285444.0,1.0,4554312.0,910862.4,1962971.8717716767,4420822.0,1.0,0,1,0,0,140,120,1.5370049307118177,1.3174327977529865,0.0,1440.0,561.5,553.9926061711543,306907.8076923077,0,0,0,1,1,0,0,0,0.0,604.6923076923077,838.2857142857143,243.33333333333334,0,0,0,0,0,0,7,5868,6,1460,-1,1021,5,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56516-443-6,10.2.123.223,56516,52.114.77.34,443,6,27/11/2019 01:53:09 PM,468,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4273.504273504273,468.0,0.0,468.0,468.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2136.7521367521367,2136.7521367521367,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56505-443-6,10.2.123.223,56505,52.114.77.34,443,6,27/11/2019 01:53:11 PM,133666,2,3,2612.0,979.0,1440.0,1172.0,1306.0,189.50461735799473,533.0,0.0,326.3333333333333,285.9411361335289,26865.470650726435,37.40667035745814,33416.5,66792.33952333157,133605.0,0.0,0.0,0.0,0.0,0.0,0.0,133666.0,66833.0,94516.13501408107,133666.0,0.0,0,1,0,0,40,60,14.962668142983256,22.444002214474885,0.0,1440.0,687.3333333333334,525.3028332939646,275943.0666666667,0,0,0,1,1,0,0,0,1.0,824.8,1306.0,326.3333333333333,0,0,0,0,0,0,2,2612,3,979,-1,1021,2,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56505-443-6,10.2.123.223,56505,52.114.77.34,443,6,27/11/2019 01:53:11 PM,73,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27397.260273972603,73.0,0.0,73.0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13698.630136986301,13698.630136986301,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1022,0,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56522-443-6,10.2.123.223,56522,52.114.77.34,443,6,27/11/2019 01:53:13 PM,6262472,20,17,13132.0,7822.0,1440.0,0.0,656.6,603.8937166858351,1460.0,0.0,460.1176470588234,597.7329966583053,3345.963063786952,5.908210048683651,173957.5555555556,470533.1660231793,1878220.0,0.0,5903079.0,310688.3684210527,621994.9989440974,1878220.0,0.0,6262472.0,391404.5,743984.2609411394,2154305.0,0.0,0,0,0,0,400,364,3.193627053342514,2.714582995341137,0.0,1460.0,551.421052631579,599.8345551890637,359801.49359886197,0,1,0,0,0,0,0,0,0.0,566.3243243243244,656.6,460.11764705882354,0,0,0,0,0,0,20,13132,17,7822,-1,1021,14,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56522-443-6,10.2.123.223,56522,52.114.77.34,443,6,27/11/2019 01:53:20 PM,195,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10256.410256410256,195.0,0.0,195.0,195.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5128.205128205128,5128.205128205128,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56523-443-6,10.2.123.223,56523,52.114.77.34,443,6,27/11/2019 01:53:21 PM,6163510,20,17,13231.0,7822.0,1440.0,0.0,661.5500000000002,609.8653410471252,1460.0,0.0,460.11764705882354,597.7349833279943,3415.7484939588,6.003072924356414,171208.61111111115,434071.8331920439,1826314.0,0.0,5892499.0,310131.52631578944,576474.913383379,1826314.0,0.0,6163510.0,385219.37499999994,660264.4273947497,1961514.0,0.0,0,0,0,0,400,364,3.2449042834358997,2.758168640920515,0.0,1460.0,554.0263157894736,603.4017301412146,364093.64793741115,0,1,0,0,0,0,0,0,0.0,569.0,661.55,460.11764705882354,0,0,0,0,0,0,20,13231,17,7822,-1,1026,14,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56523-443-6,10.2.123.223,56523,52.114.77.34,443,6,27/11/2019 01:53:28 PM,346,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5780.346820809248,346.0,0.0,346.0,346.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2890.173410404624,2890.173410404624,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56525-443-6,10.2.123.223,56525,52.114.77.34,443,6,27/11/2019 01:53:29 PM,6169867,20,16,13235.0,7823.0,1440.0,0.0,661.75,609.9911884609481,1460.0,0.0,488.9374999999999,605.0635744834311,3413.0395355361793,5.834809729285899,176281.91428571427,488655.02316270064,1867278.0,0.0,5896746.0,310355.05263157893,638564.2954737929,1867278.0,0.0,6169867.0,411324.4666666667,763787.5471148343,2003153.0,0.0,0,0,0,0,400,344,3.2415609607143883,2.5932487685715104,0.0,1460.0,569.1351351351352,604.6026317692823,365544.34234234237,0,1,0,0,0,0,0,0,0.0,584.9444444444445,661.75,488.9375,0,0,0,0,0,0,20,13235,16,7823,-1,1026,14,0,0,0,0,0,0,0,0,0,No Label
10.2.123.223-52.114.77.34-56525-443-6,10.2.123.223,56525,52.114.77.34,443,6,27/11/2019 01:53:36 PM,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.0,128.0,0.0,128.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7812.5,7812.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
