Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.12-23.59.158.215-63949-443-6,23.59.158.215,443,192.168.0.12,63949,6,6/12/2019 9:20,1,1,1,0,24,0,0,0,0,24,24,24,0,2.40E+07,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000,1000000,0,24,16,13.85640646,192,0,0,0,1,1,0,0,0,1,24,0,24,0,0,0,0,0,0,1,0,1,24,-1,254,0,0,0,0,0,0,0,0,0,0,Benign
192.168.0.12-192.168.0.15-0-0-0,192.168.0.15,0,192.168.0.12,0,0,6/12/2019 9:19,119471947,119,1,0,0,0,0,0,0,0,0,0,0,0,1.004419891,1003965.941,8461.770107,1058734,946087,1.18E+08,1003501.805,6808.757053,1019800,946087,0,0,0,0,0,0,0,0,0,0,0,0.996049725,0.008370166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,ModifiedHuLK
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,6/12/2019 9:19,115023918,23,1,0,0,0,0,0,0,0,0,0,0,0,0.208652256,5001039.913,3897515.375,1.90E+07,126,1.15E+08,5228352.5,3830008.343,1.90E+07,126,0,0,0,0,0,0,0,0,0,0,0,0.199958412,0.008693844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,-1,-1,0,0,4249888.333,6028922.888,1.55E+07,126,6886506.769,3949426.5,1.90E+07,5000053,Benign
192.168.0.1-239.255.255.250-51772-1900-17,192.168.0.1,51772,239.255.255.250,1900,17,6/12/2019 9:20,106023344,351,1,154644,396,476,396,440.5811966,29.50067485,396,396,396,0,1462.319468,3.32002356,302060.8091,2077276.506,1.57E+07,0,1.06E+08,302923.2371,2080187.488,1.57E+07,0,0,0,0,0,0,0,0,0,0,2808,8,3.310591675,0.009431885,396,476,440.3286119,29.60698441,876.5735256,0,0,0,0,0,0,0,0,0,441.5795455,440.5811966,396,0,0,0,0,0,0,351,154644,1,396,-1,-1,351,0,273085.1429,4610.151676,278251,266549,1.48E+07,487815.9675,1.57E+07,1.41E+07,Benign
239.255.255.250-20.20.20.1-1900-33157-17,20.20.20.1,33157,239.255.255.250,1900,17,6/12/2019 9:20,106014555,351,1,154293,395,475,395,439.5811966,29.50067485,395,395,395,0,1459.120401,3.320298802,302035.7692,2078402.603,1.58E+07,0,1.06E+08,302898.2943,2081315.217,1.58E+07,0,0,0,0,0,0,0,0,0,0,2808,8,3.310866135,0.009432667,395,475,439.3286119,29.60698441,876.5735256,0,0,0,0,0,0,0,0,0,440.5767045,439.5811966,395,0,0,0,0,0,0,351,154293,1,395,-1,-1,351,0,264747.4286,4230.452216,270305,258567,1.48E+07,487808.8147,1.58E+07,1.41E+07,Benign
192.168.0.1-224.0.0.1-0-0-0,192.168.0.1,0,224.0.0.1,0,0,6/12/2019 9:19,174,1,1,0,0,0,0,0,0,0,0,0,0,0,11494.25287,174,0,174,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5747.126437,5747.126437,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Benign
192.168.0.12-224.0.0.22-0-0-0,192.168.0.12,0,224.0.0.22,0,0,6/12/2019 9:19,2505068,2,1,0,0,0,0,0,0,0,0,0,0,0,1.197572281,1252534,1049435.559,1994597,510471,1994597,1994597,0,1994597,1994597,0,0,0,0,0,0,0,0,0,0,0,0.798381521,0.39919076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Benign
192.168.0.12-52.114.158.92-63951-443-6,192.168.0.12,63951,52.114.158.92,443,6,6/12/2019 9:20,96387,2,3,1167,958,1167,0,583.5,825.1936136,533,0,319.3333333,281.7735497,22046.54155,51.8742154,24096.75,28287.23067,54949,51,96276,96276,0,96276,96276,96336,48168,9589.782166,54949,41387,0,1,0,0,40,60,20.74968616,31.12452924,0,1167,443,432.0180552,186639.6,0,0,0,1,1,0,0,0,1,531.6,583.5,319.3333333,0,0,0,0,0,0,2,1167,3,958,-1,1026,1,0,0,0,0,0,0,0,0,0,Benign
192.168.0.12-52.177.165.30-63590-443-6,192.168.0.12,63590,52.177.165.30,443,6,6/12/2019 9:19,95804125,5,4,86,418,43,0,17.2,23.55206997,125,43,104.5,41,5.260733815,0.093941675,1.20E+07,2.21E+07,4.99E+07,40482,9.57E+07,2.39E+07,2.75E+07,4.99E+07,138325,9.57E+07,3.19E+07,2.76E+07,5.01E+07,90958,0,1,0,0,100,80,0.05218982,0.041751856,0,125,54.7,52.01506192,2705.566667,0,0,0,1,1,0,0,0,0,60.77777778,17.2,104.5,0,0,0,0,0,0,5,86,4,418,-1,7375,2,0,141099,3923.028422,143873,138325,4.77E+07,3219230.901,4.99E+07,4.54E+07,Benign
192.168.0.12-74.125.20.188-63764-5228-6,192.168.0.12,63764,74.125.20.188,5228,6,6/12/2019 9:20,90162577,2,4,2,1,1,1,1,0,1,0,0.25,0.5,0.033273228,0.066546456,1.80E+07,2.47E+07,4.51E+07,22085,4.51E+07,4.51E+07,0,4.51E+07,4.51E+07,9.02E+07,3.01E+07,2.60E+07,4.51E+07,22085,0,0,0,0,40,116,0.022182152,0.044364304,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,1,0,0,0,2,0.666666667,1,0.25,0,0,0,0,0,0,2,2,4,1,-1,259,2,0,22349.5,374.0594872,22614,22085,4.50E+07,43661.01531,4.51E+07,4.50E+07,Benign
